nevek	nem (1=férfi, 2=nő)
Aba	1
Abád	1
Abbás	1
Abdiás	1
Abdon	1
Abdullah	1
Ábel	1
Abelárd	1
Ábner	1
Abod	1
Abony	1
Abos	1
Abosa	1
Ábrahám	1
Ábrám	1
Ábrán	1
Ábris	1
Absa	1
Absolon	1
Acél	1
Achilles	1
Achillesz	1
Áchim	1
Acsád	1
Adalbert	1
Ádám	1
Adeboró	1
Ádel	1
Adelmár	1
Áden	1
Adeodát	1
Ádér	1
Ádin	1
Adolár	1
Adolf	1
Ádomás	1
Adonisz	1
Adony	1
Adorján	1
Adrián	1
Adriánó	1
Agád	1
Agamemnon	1
Agapion	1
Ágas	1
Agaton	1
Agenor	1
Aggeus	1
Agmánd	1
Ágost	1
Ágoston	1
Ahillész	1
Áhim	1
Ahmed	1
Airton	1
Ajád	1
Ajándok	1
Ajtony	1
Akács	1
Akhilleusz	1
Akitó	1
Ákos	1
Aladár	1
Aladdin	1
Aladin	1
Alajos	1
Alán	1
Alap	1
Alárd	1
Alarik	1
Albert	1
Albin	1
Aldán	1
Áldás	1
Aldó	1
Áldor	1
Alek	1
Alekszej	1
Alen	1
Alex	1
Alexander	1
Alfonz	1
Alfréd	1
Algernon	1
Ali	1
Alieu	1
Almár	1
Álmos	1
Alpár	1
Alperen	1
Álváró	1
Alvián	1
Alvin	1
Amadé	1
Amadeusz	1
Amadó	1
Amand	1
Amar	1
Amator	1
Ambos	1
Ambró	1
Ambrus	1
Ámer	1
Amin	1
Amir	1
Ammar	1
Ammon	1
Ámon	1
Amondó	1
Ámor	1
Ámos	1
Anakin	1
Anasztáz	1
Anatol	1
Andon	1
Andor	1
Andorás	1
Andos	1
András	1
André	1
Andrej	1
Andzseló	1
Angelus	1
Angelusz	1
Ángyán	1
Anicét	1
Aníziusz	1
Antal	1
Antigon	1
Anton	1
Antónió	1
Antos	1
Anzelm	1
Ányos	1
Apaj	1
Apollinár	1
Apolló	1
Apor	1
Apostol	1
Apród	1
Aracs	1
Arad	1
Aragorn	1
Aram	1
Aramisz	1
Árav	1
Archibald	1
Árden	1
Ardó	1
Arek	1
Árész	1
Arétász	1
Arián	1
Arie	1
Ariel	1
Arif	1
